,PDB,DUD-e,Split
674,2ya8,False,train
675,6qzh,False,test
676,4ft2,False,train
677,3q7j,False,train
678,1s26,False,train
679,1xfv,False,train
680,1lvc,False,train
681,1pk0,False,train
682,2w54,False,train
683,4xm8,False,train
684,4xm7,False,train
685,4xm6,False,train
686,4pku,False,train
687,4pkw,False,train
688,4pkr,False,train
689,4pks,False,train
690,4pkt,False,train
691,1pwq,False,train
692,5d1s,False,train
693,4pkv,False,train
694,1pwu,False,train
695,5d1t,False,val
696,5d1u,False,train
697,1zxv,False,train
698,1pwp,False,train
699,4wf6,False,train
700,1yqy,False,train
701,4dv8,False,train
702,2xel,False,train
703,2xo8,False,val
704,2y8i,False,removed
705,1lvk,False,removed
706,2f2h,False,train
707,2w76,False,train
708,2w6u,False,train
709,2w6t,False,train
710,2w78,False,train
711,2w77,False,train
712,2w16,False,train
713,1uys,False,train
714,3tvw,False,train
715,1w2x,False,val
716,3tv5,False,val
717,3h0q,False,train
718,3h0s,False,train
719,5ctc,False,train
720,3h0j,False,train
721,4wyo,False,train
722,4wz8,False,train
723,5ctb,False,train
724,5cte,False,train
725,6i96,False,removed
726,6i97,False,removed
727,5jpt,False,train
728,6mvu,False,train
729,2bgr,False,train
730,3ccb,False,train
731,4n8d,False,train
732,5t4e,False,train
733,1nu8,False,train
734,2bgn,False,train
735,1n1m,False,train
736,3g0c,False,train
737,3oc0,False,train
738,3opm,False,train
739,4pv7,False,train
740,3eio,False,train
741,2hha,False,train
742,2bub,False,train
743,2ogz,False,train
744,2rip,False,train
745,2ole,False,train
746,5y7j,False,removed
747,6b1e,False,train
748,3d4l,False,train
749,4j3j,False,train
750,3w2t,False,train
751,2qoe,False,train
752,2p8s,False,train
753,4n8e,False,train
754,3c43,False,train
755,5y7h,False,removed
756,3o9v,False,train
757,1x70,False,train
758,4g1f,False,train
759,2oph,False,train
760,3f8s,False,train
761,2ajl,False,train
762,2onc,False,train
763,5t4f,False,train
764,5t4h,False,train
765,3ccc,False,train
766,3g0b,False,train
767,3hac,False,train
768,3kwf,False,train
769,2g63,False,train
770,2iiv,False,train
771,4lko,False,train
772,3vjl,False,train
773,3o95,False,train
774,3g0d,False,train
775,3g0g,False,train
776,3bjm,False,train
777,2qtb,False,train
778,2fjp,False,train
779,3hab,False,train
780,2oqv,False,train
781,3sww,False,train
782,2g5p,False,train
783,2oag,False,train
784,3wqh,False,train
785,2oqi,False,train
786,6b1o,False,train
787,3sx4,False,train
788,2iit,False,train
789,2qt9,False,train
790,3nox,False,train
791,5i7u,False,train
792,5kby,False,train
793,2i03,False,train
794,2rgu,False,train
795,4jh0,False,train
796,2g5t,False,train
797,5ism,False,train
798,5y7k,False,removed
799,3kwj,False,train
800,5t4b,False,train
801,3vjk,False,train
802,3vjm,False,train
803,2qky,False,train
804,3c45,False,train
805,1rwq,False,train
806,6f92,False,train
807,3ff6,False,val
808,3tdc,False,train
809,5tha,False,removed
810,5tef,False,removed
811,6eks,False,train
812,6eku,False,train
813,2w68,False,train
814,3nrz,False,train
815,1ez9,False,train
816,4blb,False,train
817,1anf,False,removed
818,4mbp,False,train
819,1dmb,False,train
820,3rum,False,train
821,3mbp,False,train
822,1n3w,False,removed
823,3vfj,False,train
824,2xe4,False,train
825,5uw5,False,train
826,3qlb,False,removed
827,5hlb,False,train
828,5hl9,False,train
829,5hld,False,train
830,2pnc,False,train
831,5edu,False,train
832,2wzs,False,train
833,2wvz,False,train
834,2ww0,False,train
835,6c2x,False,train
836,6as6,False,train
837,6dnp,False,train
838,6asu,False,train
839,3sb0,False,train
840,6dlj,False,train
841,3s9i,False,train
842,6dko,False,train
843,6c7b,False,train
844,3sad,False,train
845,6au9,False,train
846,5drc,False,train
847,6dl9,False,train
848,3saz,False,train
849,3s9z,False,train
850,6axb,False,train
851,6c8p,False,train
852,5ecv,False,train
853,6apz,False,train
854,6bu1,False,train
855,5dri,False,train
856,6ba7,False,train
857,6c6o,False,train
858,6phx,False,removed
859,2pvv,False,train
860,2c6g,False,train
861,2or4,False,train
862,4p4d,False,train
863,4p4j,False,train
864,2jbk,False,train
865,4oc0,False,train
866,4oc1,False,train
867,4p4e,False,val
868,4p4f,False,train
869,4oc4,False,train
870,5d29,False,train
871,4oc5,False,train
872,5ely,False,train
873,4p4i,False,train
874,2c6c,False,train
875,4ngn,False,train
876,4ngr,False,train
877,3sjf,False,train
878,6ez9,False,train
879,3d7g,False,train
880,4p44,False,train
881,4p45,False,train
882,3bi0,False,train
883,4p4b,False,train
884,3d7d,False,train
885,4ngp,False,train
886,3iww,False,train
887,6ety,False,train
888,4ngs,False,train
889,4oc2,False,train
890,4oc3,False,train
891,4ngt,False,train
892,5of0,False,train
893,4ngq,False,train
894,2xej,False,train
895,4lqg,False,train
896,6hkj,False,train
897,3bhx,False,train
898,6f5l,False,train
899,3d7f,False,train
900,6fe5,False,test
901,3rbu,False,train
902,6h7y,False,val
903,2pvw,False,train
904,2jbj,False,train
905,2xef,False,train
906,6hkz,False,train
907,3bi1,False,train
908,6h7z,False,train
909,3d7h,False,train
910,4ngm,False,train
911,2xei,False,train
912,2xeg,False,train
913,4x3r,False,train
914,2jke,False,train
915,2jkp,False,train
916,2zq0,False,train
917,5abe,False,train
918,2w66,False,train
919,2jiw,False,train
920,2xm2,False,train
921,2w4x,False,train
922,5abf,False,train
923,2w67,False,train
924,2xm1,False,train
925,2j47,False,train
926,2wca,False,train
927,5fl0,False,train
928,2j4g,False,train
929,2xj7,False,train
930,5mi5,False,train
931,5mi7,False,train
932,2vvn,False,train
933,5mi6,False,train
934,2vvs,False,train
935,5abg,False,train
936,5fky,False,train
937,5fl1,False,train
938,5abh,False,train
939,2ww2,False,train
940,4btx,False,train
941,4btw,False,train
942,4bty,False,train
943,6qxa,False,test
944,4kvm,False,train
945,1w6j,False,train
946,1f9g,False,train
947,2brp,False,val
948,2fgh,False,train
949,3hii,False,train
950,3hig,False,val
951,2gbg,False,val
952,2gbf,False,train
953,2gbi,False,train
954,2i3z,False,train
955,4fns,False,train
956,2bua,False,val
957,2ajb,False,train
958,2aj8,False,val
959,2buc,False,val
960,1orw,False,train
961,2ajd,False,train
962,6f90,False,train
963,5e3a,False,train
964,5e2q,False,train
965,3t6j,False,train
966,3t6b,False,train
967,3my1,False,train
968,3tn8,False,train
969,3tnh,False,train
970,3lq5,False,train
971,4bch,False,val
972,4bcj,False,train
973,4bcf,False,train
974,4bcg,False,train
975,3blr,False,train
976,4bci,False,train
977,6gzh,False,train
978,3i5r,False,train
979,1azg,False,train
980,1h2t,False,train
981,1h2u,False,train
982,5npr,False,train
983,4cdr,False,train
984,4ay6,False,train
985,6ma2,False,train
986,4gz3,False,train
987,5nps,False,train
988,4ay5,False,train
989,6ma4,False,val
990,6ma1,False,val
991,6ma5,False,train
992,6ma3,False,train
993,6jtc,False,removed
994,3n75,False,removed
995,5ogl,False,train
996,3eq9,False,train
997,3ddu,False,train
998,4bcd,False,train
999,4bcc,False,val
1000,2xdw,False,val
1001,4bcb,False,train
1002,3eq8,False,train
1003,3eq7,False,train
1004,1qfs,False,train
1005,4amz,False,train
1006,4an1,False,train
1007,4an0,False,train
1008,4amy,False,train
1009,4fn5,False,train
1010,3ff3,False,train
1011,3fee,False,train
1012,3fed,False,train
1013,4nmx,False,train
1014,6u26,False,removed
1015,2z3z,False,train
1016,2eep,False,train
1017,6h7f,False,train
1018,2xs8,False,train
1019,2r02,False,train
1020,2r03,False,train
1021,2r05,False,train
1022,5jy0,False,train
1023,5vlk,False,train
1024,5vlp,False,train
1025,5vll,False,train
1026,5vlh,False,train
1027,3zuk,False,removed
1028,1lkx,False,removed
1029,2vw2,False,train
1030,2vw1,False,removed
1031,4fpk,False,train
1032,4fpf,False,train
1033,2qpj,False,train
1034,1r1i,False,train
1035,1r1j,False,train
1036,1dmt,False,removed
1037,1r1h,False,train
1038,2yb9,False,train
1039,2x6f,False,train
1040,2x6k,False,train
1041,2x6i,False,train
1042,2x6j,False,train
1043,5mrh,False,train
1044,5mri,False,train
1045,4msl,False,train
1046,4n7e,False,train
1047,4po7,False,train
1048,4mk0,False,train
1049,5ukl,False,val
1050,5ukk,False,train
1051,3pvu,False,train
1052,5he3,False,train
1053,5he1,False,train
1054,4pnk,False,train
1055,6c2y,False,train
1056,5he0,False,train
1057,5he2,False,train
1058,5wg4,False,train
1059,5wg5,False,train
1060,3pvw,False,train
1061,3krw,False,train
1062,3krx,False,train
1063,5ukm,False,train
1064,5wg3,False,train
1065,3zst,False,train
1066,4u2y,False,train
1067,5vsj,False,val
1068,5vt4,False,train
1069,4fxy,False,train
1070,6e4v,False,test
1071,2xct,False,train
1072,2xcs,False,train
1073,3lvw,False,train
1074,1dar,False,train
1075,2q3z,False,train
1076,1ukt,False,train
1077,5oht,False,train
1078,5usf,False,train
1079,1lf9,False,train
1080,6cgt,False,train
1081,4b6e,False,train
1082,4b6f,False,val
1083,4b76,False,train
1084,4b71,False,train
1085,2k1q,False,train
1086,4b73,False,train
1087,1dxp,False,train
1088,4b74,False,train
1089,3oyp,False,train
1090,5l44,False,train
1091,6eq1,False,train
1092,6epy,False,train
1093,6epz,False,train
1094,6eq8,False,train
1095,2pzi,False,train
1096,3dla,False,removed
1097,5y6k,False,train
1098,1tkc,False,train
1099,1tka,False,train
1100,1tkb,False,train
1101,3wsy,False,train
1102,6uhu,False,test
1103,6ufo,False,test
1104,6ufn,False,test
1105,5td7,False,removed
1106,6uii,False,test
1107,6uim,False,test
1108,6uhv,False,test
1109,6uil,False,test
1110,4yw2,False,train
1111,4yz5,False,train
1112,3d2e,False,train
1113,3c7n,False,removed
1114,6hys,False,removed
1115,5ohy,False,train
1116,4dkt,False,train
1117,3b1t,False,train
1118,3b1u,False,train
1119,4x8g,False,train
1120,3dwb,False,removed
1121,2o1v,False,removed
1122,6baw,False,val
1123,5wmt,False,val
1124,6c91,False,train
1125,6aom,False,train
1126,6aol,False,train
1127,2gfd,False,val
1128,5in9,False,train
1129,4yxd,False,train
1130,5jr6,False,train
1131,6cq5,False,train
1132,6bod,False,train
1133,6cq0,False,train
1134,6cq4,False,train
1135,6boe,False,train
1136,5w5v,False,train
1137,6bny,False,train
1138,4im0,False,train
1139,1lox,False,train
1140,1k1y,False,train
1141,5hm3,False,train
1142,2yiv,False,val
1143,2qyl,False,train
1144,1ro6,False,train
1145,4nw7,False,train
1146,4x0f,False,train
1147,3o0j,False,train
1148,3hmv,False,train
1149,4myq,False,train
1150,3w5e,False,train
1151,3wd9,False,train
1152,3frg,False,train
1153,3d3p,False,train
1154,4kp6,False,train
1155,3o56,False,train
1156,3o57,False,train
1157,3gwt,False,train
1158,6faa,False,removed
1159,6fac,False,removed
1160,6fa5,False,removed
1161,3thd,False,train
1162,4ufl,False,train
1163,4ufm,False,train
1164,4ufk,False,train
1165,4ufj,False,train
1166,4ccd,False,train
1167,4ufi,False,train
1168,4ufh,False,train
1169,2fw3,False,train
1170,2rcu,False,train
1171,2w92,False,train
1172,4x63,False,train
1173,5emj,False,train
1174,5eml,False,train
1175,6k1s,False,test
1176,5emm,False,train
1177,5emk,False,val
1178,6ckc,False,train
1179,4x61,False,train
1180,4x60,False,train
1181,6ouv,False,removed
1182,5a6k,False,train
1183,5a6a,False,train
1184,5a6b,False,train
1185,5a69,False,train
1186,1ms0,False,train
1187,6irt,False,removed
1188,1mwt,False,train
1189,4cjn,False,train
1190,2cfg,False,val
1191,2cfd,False,val
1192,2qki,False,train
1193,5ij7,False,train
1194,4z5w,False,train
1195,1n1v,False,removed
1196,1n1t,False,removed
1197,5wzr,False,train
1198,6n9l,False,test
1199,4msu,False,train
1200,4op2,False,train
1201,4bb9,False,train
1202,4op1,False,train
1203,4mro,False,train
1204,4ohp,False,train
1205,4ohm,False,train
1206,4oho,False,train
1207,4ly9,False,train
1208,4op3,False,train
1209,4olh,False,val
1210,4ohk,False,train
1211,4mqu,False,train
1212,5tjx,False,train
1213,6o1g,False,removed
1214,4fl1,False,train
1215,4fl2,False,train
1216,4fl3,False,train
1217,2mc1,False,train
1218,2lct,False,train
1219,1xbb,False,train
1220,6hm6,False,train
1221,3buw,False,train
1222,4dfl,False,train
1223,3fqh,False,train
1224,5cxz,False,train
1225,5lma,False,train
1226,5y5t,False,val
1227,5c26,False,train
1228,3vf8,False,val
1229,4fz6,False,train
1230,6hm7,False,val
1231,4fyo,False,train
1232,3fqs,False,train
1233,4i0s,False,train
1234,4rx8,False,train
1235,4xg7,False,train
1236,3srv,False,train
1237,4wnm,False,train
1238,4i0t,False,train
1239,5t68,False,train
1240,4xg4,False,train
1241,4dfn,False,train
1242,5y5u,False,train
1243,4xg3,False,train
1244,5lmb,False,train
1245,5cy3,False,train
1246,4i0r,False,train
1247,4rx9,False,train
1248,5tt7,False,train
1249,1xbc,False,train
1250,5ghv,False,train
1251,4xg6,False,train
1252,3emg,False,train
1253,4puz,False,train
1254,4rx7,False,train
1255,5cxh,False,val
1256,3fqe,False,train
1257,5tiu,False,train
1258,4px6,False,train
1259,5tr6,False,train
1260,3vf9,False,train
1261,4xg8,False,train
1262,4rss,False,train
1263,4pv0,False,train
1264,4xg9,False,train
1265,4f4p,False,val
1266,5hyx,False,removed
1267,4mfe,False,val
1268,1o79,False,train
1269,1h3c,False,train
1270,1h39,False,train
1271,1h3a,False,train
1272,1o6h,False,train
1273,1sqc,False,val
